checkpoint_N,k,a,b,branch,pure_even,pure_odd,empty
5011872,9,0,2,81,0,0,0
5011872,12,2,1,144,0,0,0
5011872,16,4,0,256,0,0,0
5011872,18,1,2,324,0,0,0
5011872,24,3,1,576,0,0,0
5011872,27,0,3,729,0,0,0
5011872,36,2,2,1296,0,0,0
5011872,48,4,1,2304,0,0,0
5011872,54,1,3,2916,0,0,0
5011872,72,3,2,4914,188,10,72
5011872,81,0,4,5465,396,35,665
5011872,108,2,3,5636,828,42,5158
5011872,144,4,2,5636,828,42,14230
5011872,162,1,4,5636,828,42,19738
5011872,216,3,3,5636,828,42,40150
5011872,324,2,4,5636,828,42,98470
5011872,432,4,3,5636,828,42,180118
5011872,648,3,4,5636,828,42,413398
5011872,729,0,6,5636,828,42,524935
5011872,1296,4,4,5636,828,42,1673110
5011872,19683,0,9,5636,828,42,387413983
6309573,1,0,0,1,0,0,0
6309573,2,1,0,4,0,0,0
6309573,3,0,1,9,0,0,0
6309573,4,2,0,16,0,0,0
6309573,6,1,1,36,0,0,0
6309573,8,3,0,64,0,0,0
6309573,9,0,2,81,0,0,0
6309573,12,2,1,144,0,0,0
6309573,16,4,0,256,0,0,0
6309573,18,1,2,324,0,0,0
6309573,24,3,1,576,0,0,0
6309573,27,0,3,729,0,0,0
6309573,36,2,2,1296,0,0,0
6309573,48,4,1,2304,0,0,0
6309573,54,1,3,2916,0,0,0
6309573,72,3,2,5021,129,9,25
6309573,81,0,4,5675,357,23,506
6309573,108,2,3,5918,842,38,4866
6309573,144,4,2,5918,842,38,13938
6309573,162,1,4,5918,842,38,19446
6309573,216,3,3,5918,842,38,39858
6309573,324,2,4,5918,842,38,98178
6309573,432,4,3,5918,842,38,179826
6309573,648,3,4,5918,842,38,413106
6309573,729,0,6,5918,842,38,524643
6309573,1296,4,4,5918,842,38,1672818
6309573,19683,0,9,5918,842,38,387413691
7943282,1,0,0,1,0,0,0
7943282,2,1,0,4,0,0,0
7943282,3,0,1,9,0,0,0
7943282,4,2,0,16,0,0,0
7943282,6,1,1,36,0,0,0
7943282,8,3,0,64,0,0,0
7943282,9,0,2,81,0,0,0
7943282,12,2,1,144,0,0,0
7943282,16,4,0,256,0,0,0
7943282,18,1,2,324,0,0,0
7943282,24,3,1,576,0,0,0
7943282,27,0,3,729,0,0,0
7943282,36,2,2,1296,0,0,0
7943282,48,4,1,2304,0,0,0
7943282,54,1,3,2916,0,0,0
7943282,72,3,2,5101,73,5,5
