residue,class_odd,class_dead,exact_dead,exact_steps,alpha,mod9,mod3
5481,6,1,1,3,0.01112366,0,0
5483,9,1,1,8,0.30033875,2,2
5485,8,1,1,3,0.10011292,4,1
5487,9,1,1,16,0.30033875,6,0
5489,6,1,1,3,0.01112366,8,2
5491,7,1,1,6,0.03337097,1,1
5493,6,1,1,3,0.01112366,3,0
5495,8,1,1,8,0.10011292,5,2
5497,10,1,1,3,0.90101624,7,1
5499,8,1,1,13,0.10011292,0,0
5501,7,1,1,3,0.03337097,2,2
5503,11,0,1,70,2.70304871,4,1
5505,10,1,1,3,0.90101624,6,0
5507,6,1,1,6,0.01112366,8,2
5509,8,1,1,3,0.10011292,1,1
5511,6,1,1,11,0.01112366,3,0
5513,9,1,1,3,0.30033875,5,2
5515,8,1,1,8,0.10011292,7,1
5517,7,1,1,3,0.03337097,0,0
5519,9,1,1,11,0.30033875,2,2
5521,6,1,1,3,0.01112366,4,1
5523,6,1,1,6,0.01112366,6,0
5525,7,1,1,3,0.03337097,8,2
5527,9,1,1,8,0.30033875,1,1
5529,9,1,1,3,0.30033875,3,0
5531,8,1,1,19,0.10011292,5,2
5533,9,1,1,3,0.30033875,7,1
5535,12,0,1,44,8.10914612,0,0
5537,7,1,1,3,0.03337097,2,2
5539,8,1,1,6,0.10011292,4,1
5541,8,1,1,3,0.10011292,6,0
5543,10,1,1,16,0.90101624,8,2
5545,9,1,1,3,0.30033875,1,1
5547,9,1,1,8,0.30033875,3,0
5549,8,1,1,3,0.10011292,5,2
5551,8,1,1,13,0.10011292,7,1
5553,7,1,1,3,0.03337097,0,0
5555,7,1,1,6,0.03337097,2,2
5557,6,1,1,3,0.01112366,4,1
5559,10,1,1,8,0.90101624,6,0
5561,7,1,1,3,0.03337097,8,2
5563,9,1,1,11,0.30033875,1,1
5565,10,1,1,3,0.90101624,3,0
5567,13,0,1,57,24.32743835,5,2
5569,6,1,1,3,0.01112366,7,1
5571,10,1,1,6,0.90101624,0,0
5573,4,1,1,3,0.00123596,2,2
5575,9,1,1,13,0.30033875,4,1
5577,8,1,1,3,0.10011292,6,0
5579,8,1,1,8,0.10011292,8,2
5581,7,1,1,3,0.03337097,1,1
5583,10,1,1,26,0.90101624,3,0
5585,7,1,1,3,0.03337097,5,2
5587,9,1,1,6,0.30033875,7,1
5589,4,1,1,3,0.00123596,0,0
5591,10,1,1,8,0.90101624,2,2
5593,8,1,1,3,0.10011292,4,1
5595,7,1,1,13,0.03337097,6,0
5597,8,1,1,3,0.10011292,8,2
5599,9,1,1,24,0.30033875,1,1
5601,7,1,1,3,0.03337097,3,0
5603,4,1,1,6,0.00123596,5,2
5605,11,0,1,3,2.70304871,7,1
5607,9,1,1,21,0.30033875,0,0
5609,11,0,1,3,2.70304871,2,2
5611,12,0,1,8,8.10914612,4,1
5613,7,1,1,3,0.03337097,6,0
5615,9,1,1,21,0.30033875,8,2
5617,8,1,1,3,0.10011292,1,1
5619,9,1,1,6,0.30033875,3,0
5621,8,1,1,3,0.10011292,5,2
5623,10,1,1,8,0.90101624,7,1
5625,9,1,1,3,0.30033875,0,0
5627,11,0,1,16,2.70304871,2,2
5629,11,0,1,3,2.70304871,4,1
5631,10,1,1,24,0.90101624,6,0
5633,9,1,1,3,0.30033875,8,2
5635,9,1,1,6,0.30033875,1,1
5637,9,1,1,3,0.30033875,3,0
5639,8,1,1,11,0.10011292,5,2
5641,9,1,1,3,0.30033875,7,1
5643,9,1,1,8,0.30033875,0,0
5645,4,1,1,3,0.00123596,2,2
5647,10,1,1,11,0.90101624,4,1
5649,4,1,1,3,0.00123596,6,0
5651,10,1,1,6,0.90101624,8,2
5653,7,1,1,3,0.03337097,1,1
5655,11,0,1,8,2.70304871,3,0
5657,11,0,1,3,2.70304871,5,2
5659,11,0,1,34,2.70304871,7,1
5661,4,1,1,3,0.00123596,0,0
5663,10,1,1,26,0.90101624,2,2
5665,8,1,1,3,0.10011292,4,1
5667,7,1,1,6,0.03337097,6,0
5669,8,1,1,3,0.10011292,8,2
5671,8,1,1,13,0.10011292,1,1
5673,12,0,1,3,8.10914612,3,0
5675,7,1,1,8,0.03337097,5,2
5677,7,1,1,3,0.03337097,7,1
5679,12,0,1,32,8.10914612,0,0
5681,9,1,1,3,0.30033875,2,2
5683,9,1,1,6,0.30033875,4,1
5685,5,1,1,3,0.00370789,6,0
5687,12,0,1,8,8.10914612,8,2
5689,7,1,1,3,0.03337097,1,1
5691,9,1,1,11,0.30033875,3,0
5693,7,1,1,3,0.03337097,5,2
5695,9,1,1,16,0.30033875,7,1
5697,7,1,1,3,0.03337097,0,0
5699,7,1,1,6,0.03337097,2,2
5701,6,1,1,3,0.01112366,4,1
5703,9,1,1,16,0.30033875,6,0
5705,11,0,1,3,2.70304871,8,2
5707,6,1,1,8,0.01112366,1,1
5709,6,1,1,3,0.01112366,3,0
5711,8,1,1,13,0.10011292,5,2
5713,9,1,1,3,0.30033875,7,1
5715,9,1,1,6,0.30033875,0,0
5717,5,1,1,3,0.00370789,2,2
5719,9,1,1,8,0.30033875,4,1
5721,9,1,1,3,0.30033875,6,0
5723,10,1,1,21,0.90101624,8,2
5725,6,1,1,3,0.01112366,1,1
5727,9,1,1,13,0.30033875,3,0
5729,6,1,1,3,0.01112366,5,2
5731,6,1,1,6,0.01112366,7,1
5733,6,1,1,3,0.01112366,0,0
5735,12,0,1,39,8.10914612,2,2
5737,11,0,1,3,2.70304871,4,1
5739,10,1,1,8,0.90101624,6,0
5741,9,1,1,3,0.30033875,8,2
5743,10,1,1,19,0.90101624,1,1
5745,5,1,1,3,0.00370789,3,0
5747,11,0,1,6,2.70304871,5,2
5749,8,1,1,3,0.10011292,7,1
5751,8,1,1,8,0.10011292,0,0
5753,9,1,1,3,0.30033875,2,2
5755,8,1,1,13,0.10011292,4,1
