j,k,n_atoms,min_width,max_width,mean_width,min_mean_ratio,entropy,max_entropy,deficit,efficiency,H_over_j,H_over_k,min_gap_int,baker_ratio
12,16,43050816,5.671526641947943e-12,2.323057312541877e-08,2.322836342985926e-08,0.00024416,17.5778441891,17.5778917434,0.0000475543,0.99999729,1.4648203491,1.0986152618,1,1.00
13,1,8194,4.069010416666666e-05,1.220703125000000e-04,1.220405174517940e-04,0.33341471,9.0110687462,9.0111574581,0.0000887119,0.99999016,0.6931591343,9.0110687462,1,1.00
13,4,8272,1.507040895061728e-06,1.220703125000000e-04,1.208897485493230e-04,0.01246624,9.0158553414,9.0206315967,0.0047762553,0.99947052,0.6935273340,2.2539638353,1,1.00
13,8,14752,1.860544314891023e-08,1.220703125000000e-04,6.778741865509762e-05,0.00027447,9.4113649709,9.5991339458,0.1877689749,0.98043897,0.7239511516,1.1764206214,1,1.00
13,10,67240,2.067271460990025e-09,1.693508780843029e-05,1.487209994051160e-05,0.00013900,11.0554890022,11.1160235875,0.0605345853,0.99455429,0.8504222309,1.1055489002,1,1.00
13,16,43054912,2.835763320973971e-12,2.323057312541877e-08,2.322615361517868e-08,0.00012209,17.5778917653,17.5779868822,0.0000951169,0.99999459,1.3521455204,1.0986182353,1,1.00
14,1,16386,2.034505208333333e-05,6.103515625000000e-05,6.102770657878677e-05,0.33337402,9.7041382273,9.7041825907,0.0000443634,0.99999543,0.6931527305,9.7041382273,1,1.00
14,4,16464,7.535204475308642e-07,6.103515625000000e-05,6.073858114674441e-05,0.01240596,9.7065315249,9.7089314581,0.0023999332,0.99975281,0.6933236804,2.4266328812,1,1.00
14,9,36066,3.100907191485038e-09,5.080526342529086e-05,2.772694504519492e-05,0.00011184,10.3037073094,10.4931058723,0.1893985628,0.98195019,0.7359790935,1.1448563677,1,1.00
14,11,193530,3.445452434983375e-10,5.645029269476762e-06,5.167157546633597e-06,0.00006668,12.1309792544,12.1731878182,0.0422085638,0.99653266,0.8664985182,1.1028162959,1,1.00
15,1,32770,1.017252604166667e-05,3.051757812500000e-05,3.051571559353067e-05,0.33335368,10.3972465581,10.3972687417,0.0000221836,0.99999787,0.6931497705,10.3972465581,1,1.00
15,4,32848,3.767602237654321e-07,3.051757812500000e-05,3.044325377496347e-05,0.01237582,10.3984432069,10.3996461393,0.0012029323,0.99988433,0.6932295471,2.5996108017,1,1.00
15,9,52450,1.550453595742519e-09,3.051757812500000e-05,1.906577693040991e-05,0.00008132,10.6975464502,10.8676156138,0.1700691636,0.98435083,0.7131697633,1.1886162722,1,1.00
15,11,209914,1.722726217491688e-10,5.645029269476762e-06,4.763855674228493e-06,0.00003616,12.1772233345,12.2544532020,0.0772298675,0.99369781,0.8118148890,1.1070203031,1,1.00
16,1,65538,5.086263020833333e-06,1.525878906250000e-05,1.525832341542311e-05,0.33334351,11.0903743138,11.0903854061,0.0000110923,0.99999900,0.6931483946,11.0903743138,1,1.00
16,5,65778,6.279337062757202e-08,1.525878906250000e-05,1.520265134239411e-05,0.00413042,11.0922087431,11.0940407149,0.0018319718,0.99983487,0.6932630464,2.2184417486,1,1.00
16,10,124584,2.584089326237531e-10,1.525878906250000e-05,8.026712900532973e-06,0.00003219,11.5408630060,11.7327354662,0.1918724601,0.98364640,0.7213039379,1.1540863006,1,1.00
16,12,596976,2.871210362486146e-11,1.881676423158921e-06,1.675109217120956e-06,0.00001714,13.2450062371,13.2996321906,0.0546259535,0.99589267,0.8278128898,1.1037505198,1,1.00
17,1,131074,2.543131510416667e-06,7.629394531250000e-06,7.629278117704503e-06,0.33333842,11.7835117820,11.7835173282,0.0000055462,0.99999953,0.6931477519,11.7835117820,1,1.00
17,5,131314,3.139668531378601e-08,7.629394531250000e-06,7.615334237019663e-06,0.00412282,11.7844289966,11.7853466807,0.0009176841,0.99992213,0.6932017057,2.3568857993,1,1.00
17,11,308218,4.306815543729219e-11,5.645029269476762e-06,3.244456845479498e-06,0.00001327,12.4546878135,12.6385626038,0.1838747903,0.98545129,0.7326286949,1.1322443467,1,1.00
17,13,1725394,4.785350604143577e-12,6.272254743863069e-07,5.795777660059094e-07,0.00000826,14.3230656017,14.3609659882,0.0379003864,0.99736087,0.8425332707,1.1017742771,1,1.00
18,1,262146,1.271565755208333e-06,3.814697265625000e-06,3.814668162016586e-06,0.33333588,12.4766541063,12.4766568794,0.0000027732,0.99999978,0.6931474503,12.4766541063,1,1.00
18,5,262386,1.569834265689301e-08,3.814697265625000e-06,3.811178950096423e-06,0.00411903,12.4771127136,12.4775719810,0.0004592674,0.99996319,0.6931729285,2.4954225427,1,1.00
18,11,439290,2.153407771864610e-11,3.814697265625000e-06,2.276400555441736e-06,0.00000946,12.8145303383,12.9929150662,0.1783847279,0.98627062,0.7119183521,1.1649573035,1,1.00
18,13,1856466,2.392675302071789e-12,6.272254743863069e-07,5.386578585333639e-07,0.00000444,14.3641714504,14.4341852384,0.0700137880,0.99514945,0.7980095250,1.1049362654,1,1.00
19,1,524290,6.357828776041666e-07,1.907348632812500e-06,1.907341356882641e-06,0.33333460,13.1697988587,13.1698002453,0.0000013867,0.99999989,0.6931473084,13.1697988587,1,1.00
19,6,525016,2.616390442815500e-09,1.907348632812500e-06,1.904703856644369e-06,0.00137365,13.1704916550,13.1711840173,0.0006923623,0.99994743,0.6931837713,2.1950819425,1,1.00
19,12,1055728,3.589012953107683e-12,1.881676423158921e-06,9.472136762499432e-07,0.00000379,13.6766176483,13.8697411343,0.1931234860,0.98607591,0.7198219815,1.1397181374,1,1.00
19,14,5307256,3.987792170119647e-13,2.090751581287690e-07,1.884212858772971e-07,0.00000212,15.4353798409,15.4845854988,0.0492056579,0.99682228,0.8123884127,1.1025271315,1,1.00
20,1,1048578,3.178914388020833e-07,9.536743164062500e-07,9.536724974203159e-07,0.33333397,13.8629448256,13.8629455185,0.0000006930,0.99999995,0.6931472413,13.8629448256,1,1.00
20,6,1049304,1.308195221407750e-09,9.536743164062500e-07,9.530126636322743e-07,0.00137269,13.8632912237,13.8636376452,0.0003464215,0.99997501,0.6931645612,2.3105485373,1,1.00
20,13,2642898,5.981688255179471e-13,6.272254743863069e-07,3.783725289436066e-07,0.00000158,14.6108065423,14.7873866003,0.1765800580,0.98805874,0.7305403271,1.1239081956,1,1.00
20,15,15397482,6.646320283532746e-14,6.969171937625632e-08,6.494568397612025e-08,0.00000102,16.5157228662,16.5497145475,0.0339916814,0.99794609,0.8257861433,1.1010481911,1,1.00
